Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScoring,TeamScoring
Jordyn Poulter,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Kelsey Robinson,United States,2020,Volleyball,5,0,0.508761886,0.157490131,0.376402689,0.317693152
Jordan Thompson,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Haleigh Washington,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Justine Wong-orantes,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Lauren Carlini,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Andrea Drews,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Micha Hancock,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Jordan Larson,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Chiaka Ogbogu,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Kathryn Plummer,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Jordyn Poulter,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Dana Rettke,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Kelsey Robinson,United States,2024,Volleyball,3,0,1,0.5,0.8116,0.463452863
Avery Skinner,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Jordan Thompson,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Haleigh Washington,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Justine Wong-orantes,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Pamela (-flat),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,1,1,0.025811648,0.089583346,0.048138119,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,3,1,0.069438548,0.016627487,0.050949395,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,5,1,0.108186649,0.06807568,0.094143799,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Mary (-kelley),United States,1984,Gymnastics,5,1,0.108186649,0,0.070310503,0.026753116
Mary (-kelley),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Mary (-kelley),United States,1984,Gymnastics,1,1,0.025811648,0.014713533,0.021926198,0.026753116
Mary (-kelley),United States,1984,Gymnastics,3,1,0.069438548,0.036133964,0.057778613,0.026753116
Mary (-kelley),United States,1984,Gymnastics,1,1,0.025811648,0.057700039,0.036975773,0.026753116
Mary (-kelley),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Tracee (-kent),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Phoebe Mills,United States,1988,Gymnastics,0,0,0.025811648,0,0.01677499,0.013979875
Phoebe Mills,United States,1988,Gymnastics,0,0,0.025811648,0.003751957,0.01808855,0.013979875
Phoebe Mills,United States,1988,Gymnastics,0,0,0.025811648,0.014713533,0.021926198,0.013979875
Phoebe Mills,United States,1988,Gymnastics,0,0,0.025811648,0.032724145,0.028231713,0.013979875
Phoebe Mills,United States,1988,Gymnastics,0,0,0.025811648,0.057700039,0.036975773,0.013979875
Phoebe Mills,United States,1988,Gymnastics,1,0,0.025811648,0.089583346,0.048138119,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Theresa -coburn),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Carrol Stack,United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Wendy (-martin),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499,0.045982229
Wendy (-martin),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.045982229
Wendy (-martin),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.045982229
Wendy (-martin),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.045982229
Wendy (-martin),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.045982229
Wendy (-martin),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.045982229
Dominique (-thompson),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,3,1,0.181344773,0,0.117855968,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,1,1,0.181344773,0.007169738,0.120366093,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,1,1,0.181344773,0.023996925,0.126257291,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,0,1,0.181344773,0.04864716,0.134887339,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,1,1,0.181344773,0.080317071,0.145974975,0.045982229
Shannon -falconetti),United States,1992,Gymnastics,3,1,0.181344773,0.118497223,0.159341846,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.045982229
Elizabeth Okino,United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.045982229
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.045982229
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.045982229
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503,0.167018654
Amanda (-cochran),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323,0.167018654
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026,0.167018654
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172,0.167018654
Amy (-ho),United States,1996,Gymnastics,0,1,0.163122051,0,0.106013021,0.167018654
Amy (-ho),United States,1996,Gymnastics,5,1,0.163122051,0.006612225,0.108327961,0.167018654
Amy (-ho),United States,1996,Gymnastics,0,1,0.163122051,0.022573597,0.113916037,0.167018654
Amy (-ho),United States,1996,Gymnastics,3,1,0.163122051,0.046294974,0.122220891,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.456771265,0.25412248,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,5,1,0.144955933,0.384761794,0.228911965,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,1,1,0.144955933,0.318294005,0.205641592,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.257486176,0.184352771,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.202473604,0.165092869,0.167018654
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.153413717,0.147917003,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.219249029,0.329982728,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,5,1,0.38963478,0.274466103,0.349314226,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.333419708,0.369953883,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.395847403,0.391809819,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.461533257,0.414806436,0.167018654
Shannon -falconetti),United States,1996,Gymnastics,5,1,0.38963478,0.530295639,0.438880147,0.167018654
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503,0.167018654
Dominique (-canales),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323,0.167018654
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026,0.167018654
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172,0.167018654
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.06807568,0.094143799,0.167018654
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.103030955,0.10638164,0.167018654
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503,0.167018654
Jaycie -marus),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323,0.167018654
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026,0.167018654
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172,0.167018654
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.06807568,0.094143799,0.167018654
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.103030955,0.10638164,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.148916014,0.134479072,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,5,1,0.126701917,0.197405109,0.151455104,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.252000154,0.170568829,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.312562482,0.1917717,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.378972491,0.215021845,0.167018654
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.451125284,0.240282537,0.167018654
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.080317071,0.145974975,0.120756259
Amy (-ho),United States,2000,Gymnastics,1,1,0.181344773,0.118497223,0.159341846,0.120756259
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.162820758,0.174859515,0.120756259
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.213004346,0.192428789,0.120756259
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.268819112,0.211969539,0.120756259
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.330074278,0.233414973,0.120756259
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499,0.120756259
Jamie Dantzscher,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.120756259
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.120756259
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.539560462,0.294913139,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,1,1,0.163122051,0.621754169,0.323689155,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.708976065,0.354225541,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.801141601,0.386492695,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.898173352,0.420463511,0.120756259
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,1,0.456113021,0.120756259
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499,0.120756259
Kristen Maloney,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.120756259
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.120756259
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.120756259
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.120756259
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.120756259
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499,0.120756259
Mary Ray,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.120756259
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.120756259
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.120756259
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.057700039,0.036975773,0.120756259
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.089583346,0.048138119,0.120756259
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499,0.120756259
Tasha Schwikert-warren,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855,0.120756259
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198,0.120756259
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713,0.120756259
