Name,NOC,Year,Sport,Medal,isCoached,Scoring_Current,ExperienceScoring
Hou Yuzhu,CHN,1984,Volleyball,Gold,0,5,0
Jiang Ying,CHN,1984,Volleyball,Gold,0,5,0
Lang Ping,CHN,1984,Volleyball,Gold,0,5,0
Li Yanjun,CHN,1984,Volleyball,Gold,0,5,0
Liang Yan,CHN,1984,Volleyball,Gold,0,5,0
Yang Xiaojun,CHN,1984,Volleyball,Gold,0,5,0
Yang Xilan,CHN,1984,Volleyball,Gold,0,5,0
Zhang Rongfang,CHN,1984,Volleyball,Gold,0,5,0
Zheng Meizhu,CHN,1984,Volleyball,Gold,0,5,0
Zhu Ling,CHN,1984,Volleyball,Gold,0,5,0
Cui Yongmei,CHN,1988,Volleyball,Bronze,0,1,0
Hou Yuzhu,CHN,1988,Volleyball,Bronze,0,6,1
Jiang Ying,CHN,1988,Volleyball,Bronze,0,6,1
Li Guojun,CHN,1988,Volleyball,Bronze,0,1,0
Li Yueming,CHN,1988,Volleyball,Bronze,0,1,0
Su Huijuan,CHN,1988,Volleyball,Bronze,0,1,0
Wang Yajun,CHN,1988,Volleyball,Bronze,0,1,0
Wu Dan,CHN,1988,Volleyball,Bronze,0,1,0
Yang Xiaojun,CHN,1988,Volleyball,Bronze,0,6,1
Yang Xilan,CHN,1988,Volleyball,Bronze,0,6,1
Zheng Meizhu,CHN,1988,Volleyball,Bronze,0,6,1
Chen Fengqin,CHN,1992,Volleyball,No medal,0,0,0
Gao Lin,CHN,1992,Volleyball,No medal,0,0,0
Lai Yawen,CHN,1992,Volleyball,No medal,0,0,0
Li Guojun,CHN,1992,Volleyball,No medal,0,1,1
Li Yueming,CHN,1992,Volleyball,No medal,0,1,1
Ma Fang,CHN,1992,Volleyball,No medal,0,0,0
Su Huijuan,CHN,1992,Volleyball,No medal,0,1,1
Su Liqun,CHN,1992,Volleyball,No medal,0,0,0
Sun Yue,CHN,1992,Volleyball,No medal,0,0,0
Wang Yi,CHN,1992,Volleyball,No medal,0,0,0
Wu Dan,CHN,1992,Volleyball,No medal,0,1,1
Zhou Hong,CHN,1992,Volleyball,No medal,0,0,0
Cui Yongmei,CHN,1996,Volleyball,Silver,1,4,1
He Qi,CHN,1996,Volleyball,Silver,1,3,0
Lai Yawen,CHN,1996,Volleyball,Silver,1,3,1
Li Yan,CHN,1996,Volleyball,Silver,1,3,0
Sun Yue,CHN,1996,Volleyball,Silver,1,3,1
Wang Lina,CHN,1996,Volleyball,Silver,1,3,0
Wang Yi,CHN,1996,Volleyball,Silver,1,3,1
Wang Ziling,CHN,1996,Volleyball,Silver,1,3,0
Wu Yongmei,CHN,1996,Volleyball,Silver,1,3,0
Chen Jing,CHN,2000,Volleyball,No medal,0,0,0
Gui Chaoran,CHN,2000,Volleyball,No medal,0,0,0
He Qi,CHN,2000,Volleyball,No medal,0,3,1
Li Shan,CHN,2000,Volleyball,No medal,0,0,0
Li Yan,CHN,2000,Volleyball,No medal,0,3,1
Qiu Aihua,CHN,2000,Volleyball,No medal,0,0,0
Sun Yue,CHN,2000,Volleyball,No medal,0,3,2
Wang Lina,CHN,2000,Volleyball,No medal,0,3,1
Wu Dan,CHN,2000,Volleyball,No medal,0,0,2
Wu Yongmei,CHN,2000,Volleyball,No medal,0,3,1
Yin Yin,CHN,2000,Volleyball,No medal,0,0,0
Zhu Yunying,CHN,2000,Volleyball,No medal,0,0,0
Chen Jing,CHN,2004,Volleyball,Gold,0,5,1
Feng Kun,CHN,2004,Volleyball,Gold,0,5,0
Li Shan,CHN,2004,Volleyball,Gold,0,5,1
Liu Yanan,CHN,2004,Volleyball,Gold,0,5,0
Song Nina,CHN,2004,Volleyball,Gold,0,5,0
Wang Lina,CHN,2004,Volleyball,Gold,0,8,2
Yang Hao,CHN,2004,Volleyball,Gold,0,5,0
Zhang Na,CHN,2004,Volleyball,Gold,0,5,0
Zhang Ping,CHN,2004,Volleyball,Gold,0,5,0
Zhang Yuehong,CHN,2004,Volleyball,Gold,0,5,0
Zhao Ruirui,CHN,2004,Volleyball,Gold,0,5,0
Zhou Suhong,CHN,2004,Volleyball,Gold,0,5,0
Feng Kun,CHN,2008,Volleyball,Bronze,0,6,1
Li Juan,CHN,2008,Volleyball,Bronze,0,1,0
Liu Yanan,CHN,2008,Volleyball,Bronze,0,6,1
Ma Yunwen,CHN,2008,Volleyball,Bronze,0,1,0
Wang Yimei,CHN,2008,Volleyball,Bronze,0,1,0
Wei Qiuyue,CHN,2008,Volleyball,Bronze,0,1,0
Xu Yunli,CHN,2008,Volleyball,Bronze,0,1,0
Xue Ming,CHN,2008,Volleyball,Bronze,0,1,0
Yang Hao,CHN,2008,Volleyball,Bronze,0,6,1
Zhang Na,CHN,2008,Volleyball,Bronze,0,6,1
Zhao Ruirui,CHN,2008,Volleyball,Bronze,0,6,1
Zhou Suhong,CHN,2008,Volleyball,Bronze,0,6,1
Chu Jinling,CHN,2012,Volleyball,No medal,0,0,0
Hui Ruoqi,CHN,2012,Volleyball,No medal,0,0,0
Ma Yunwen,CHN,2012,Volleyball,No medal,0,1,1
Mi Yang,CHN,2012,Volleyball,No medal,0,0,0
Shan Danna,CHN,2012,Volleyball,No medal,0,0,0
Wang Yimei,CHN,2012,Volleyball,No medal,0,1,1
Wei Qiuyue,CHN,2012,Volleyball,No medal,0,1,1
Xu Yunli,CHN,2012,Volleyball,No medal,0,1,1
Yang Junjing,CHN,2012,Volleyball,No medal,0,0,0
Zeng Chunlei,CHN,2012,Volleyball,No medal,0,0,0
Zhang Lei,CHN,2012,Volleyball,No medal,0,0,0
Zhang Xian,CHN,2012,Volleyball,No medal,0,0,0
Ding Xia,CHN,2016,Volleyball,Gold,1,5,0
Gong Xiangyu,CHN,2016,Volleyball,Gold,1,5,0
Hui Ruoqi,CHN,2016,Volleyball,Gold,1,5,1
Lin Li,CHN,2016,Volleyball,Gold,1,5,0
Liu Xiaotong,CHN,2016,Volleyball,Gold,1,5,0
Wei Qiuyue,CHN,2016,Volleyball,Gold,1,6,2
Xu Yunli,CHN,2016,Volleyball,Gold,1,6,2
Yan Ni,CHN,2016,Volleyball,Gold,1,5,0
Yang Fangxu,CHN,2016,Volleyball,Gold,1,5,0
Yuan Xinyue,CHN,2016,Volleyball,Gold,1,5,0
Zhang Changning,CHN,2016,Volleyball,Gold,1,5,0
Zhu Ting,CHN,2016,Volleyball,Gold,1,5,0
Xia Ding,CHN,2020,Volleyball,No medal,1,0,0
Xiangyu Gong,CHN,2020,Volleyball,No medal,1,0,0
Yingying Li,CHN,2020,Volleyball,No medal,1,0,0
Xiaotong Liu,CHN,2020,Volleyball,No medal,1,0,0
Yanhan Liu,CHN,2020,Volleyball,No medal,1,0,0
Mengjie Wang,CHN,2020,Volleyball,No medal,1,0,0
Yuanyuan Wang,CHN,2020,Volleyball,No medal,1,0,0
Ni Yan,CHN,2020,Volleyball,No medal,1,0,0
Di Yao,CHN,2020,Volleyball,No medal,1,0,0
Xinyue Yuan,CHN,2020,Volleyball,No medal,1,0,0
Changning Zhang,CHN,2020,Volleyball,No medal,1,0,0
Ting Zhu,CHN,2020,Volleyball,No medal,1,0,0
Linyu Diao,CHN,2024,Volleyball,No medal,0,0,0
Xia Ding,CHN,2024,Volleyball,No medal,0,0,1
Yi Gao,CHN,2024,Volleyball,No medal,0,0,0
Xiangyu Gong,CHN,2024,Volleyball,No medal,0,0,1
Yingying Li,CHN,2024,Volleyball,No medal,0,0,1
Mengjie Wang,CHN,2024,Volleyball,No medal,0,0,1
Mengjie Wu,CHN,2024,Volleyball,No medal,0,0,0
Xinyue Yuan,CHN,2024,Volleyball,No medal,0,0,1
Changning Zhang,CHN,2024,Volleyball,No medal,0,0,1
Yushan Zhuang,CHN,2024,Volleyball,No medal,0,0,0
Yuanyuan Wang,CHN,2024,Volleyball,No medal,0,0,1
Yixin Zheng,CHN,2024,Volleyball,No medal,0,0,0
Ting Zhu,CHN,2024,Volleyball,No medal,0,0,1
Jeanne (-reeves),United States,1984,Volleyball,Silver,0,3,0
Carolyn Becker,United States,1984,Volleyball,Silver,0,3,0.5
Linda Chisholm,United States,1984,Volleyball,Silver,0,3,0.5
Rita (-buck),United States,1984,Volleyball,Silver,0,3,0.5
Laura (-corbelli),United States,1984,Volleyball,Silver,0,3,0.5
Deborah (-vargas),United States,1984,Volleyball,Silver,0,3,0.5
Flora Hyman,United States,1984,Volleyball,Silver,0,3,0.5
Rose (-powell),United States,1984,Volleyball,Silver,0,3,0.5
Kimberly Ruddins,United States,1984,Volleyball,Silver,0,3,0.5
Julie (-melli),United States,1984,Volleyball,Silver,0,3,0.5
Paula (-hanold),United States,1984,Volleyball,Silver,0,3,0.5
Susan Woodstra,United States,1984,Volleyball,Silver,0,3,0.5
Deitre (-parker),United States,1988,Volleyball,No medal,0,0,0.5
Caren Kemner,United States,1988,Volleyball,No medal,0,0,0.5
Laurel Kessel,United States,1988,Volleyball,No medal,0,0,0.5
Elizabeth Masakayan,United States,1988,Volleyball,No medal,0,0,0.5
Jayne (gibson-),United States,1988,Volleyball,No medal,0,0,0.5
Melissa (-kleespies),United States,1988,Volleyball,No medal,0,0,0.5
Kimberley Oden,United States,1988,Volleyball,No medal,0,0,0.5
Prikeba Phipps,United States,1988,Volleyball,No medal,0,0,0.5
Angela Rock,United States,1988,Volleyball,No medal,0,0,0.5
Kimberly Ruddins,United States,1988,Volleyball,No medal,0,3,1
Liane Sato,United States,1988,Volleyball,No medal,0,0,0.5
Tammy Webb-liley,United States,1988,Volleyball,No medal,0,0,0.5
Janet (-mulholland),United States,1992,Volleyball,Bronze,0,1,0.5
Tara Cross-battle,United States,1992,Volleyball,Bronze,0,1,0.5
Lori (-vandersnick),United States,1992,Volleyball,Bronze,0,1,0.5
Caren Kemner,United States,1992,Volleyball,Bronze,0,1,1
Ruth (-kenan),United States,1992,Volleyball,Bronze,0,1,0.5
Elaina Oden,United States,1992,Volleyball,Bronze,0,1,0.5
Kimberley Oden,United States,1992,Volleyball,Bronze,0,1,1
Tonya (-slacanin),United States,1992,Volleyball,Bronze,0,1,0.5
Liane Sato,United States,1992,Volleyball,Bronze,0,1,1
Tammy Webb-liley,United States,1992,Volleyball,Bronze,0,1,1
Paula (-hanold),United States,1992,Volleyball,Bronze,0,4,1
Yoko -hiroshi),United States,1992,Volleyball,Bronze,0,1,0.5
Tara Cross-battle,United States,1996,Volleyball,No medal,0,1,1
Lori (-vandersnick),United States,1996,Volleyball,No medal,0,1,1
Caren Kemner,United States,1996,Volleyball,No medal,0,1,1.5
Kristin Klein,United States,1996,Volleyball,No medal,0,0,0.5
Beverly Oden,United States,1996,Volleyball,No medal,0,0,0.5
Elaina Oden,United States,1996,Volleyball,No medal,0,1,1
Tonya (-slacanin),United States,1996,Volleyball,No medal,0,1,1
Danielle Scott-arruda,United States,1996,Volleyball,No medal,0,0,0.5
Tammy Webb-liley,United States,1996,Volleyball,No medal,0,1,1.5
Paula (-hanold),United States,1996,Volleyball,No medal,0,1,1.5
Elaine Youngs,United States,1996,Volleyball,No medal,0,0,0.5
Yoko -hiroshi),United States,1996,Volleyball,No medal,0,1,1
Robyn Mow-santos,United States,2000,Volleyball,No medal,0,0,0.5
Heather Bown,United States,2000,Volleyball,No medal,0,0,0.5
Tara Cross-battle,United States,2000,Volleyball,No medal,0,1,1.5
Mickisha Hurley,United States,2000,Volleyball,No medal,0,0,0.5
Sarah Noriega,United States,2000,Volleyball,No medal,0,0,0.5
Demetria Sance,United States,2000,Volleyball,No medal,0,0,0.5
Danielle Scott-arruda,United States,2000,Volleyball,No medal,0,0,1
Stacy Sykora,United States,2000,Volleyball,No medal,0,0,0.5
Charlene Tagaloa,United States,2000,Volleyball,No medal,0,0,0.5
Logan Tom,United States,2000,Volleyball,No medal,0,0,0.5
Kerri Jennings,United States,2000,Volleyball,No medal,0,0,0.5
Allison Weston,United States,2000,Volleyball,No medal,0,0,0.5
Robyn Mow-santos,United States,2004,Volleyball,No medal,0,0,1
Elisabeth (-mccutcheon),United States,2004,Volleyball,No medal,0,0,0.5
Lindsey Berg,United States,2004,Volleyball,No medal,0,0,0.5
Heather Bown,United States,2004,Volleyball,No medal,0,0,1
Tara Cross-battle,United States,2004,Volleyball,No medal,0,0,2
Tayyiba Haneef-park,United States,2004,Volleyball,No medal,0,0,0.5
Nancy (meendering-),United States,2004,Volleyball,No medal,0,0,0.5
Ogonna Nnamani,United States,2004,Volleyball,No medal,0,0,0.5
Prikeba Phipps,United States,2004,Volleyball,No medal,0,0,1
Danielle Scott-arruda,United States,2004,Volleyball,No medal,0,0,1.5
Stacy Sykora,United States,2004,Volleyball,No medal,0,0,1
Logan Tom,United States,2004,Volleyball,No medal,0,0,1
Robyn Mow-santos,United States,2008,Volleyball,Silver,1,3,1.5
Lindsey Berg,United States,2008,Volleyball,Silver,1,3,1
Heather Bown,United States,2008,Volleyball,Silver,1,3,1.5
Nicole Davis,United States,2008,Volleyball,Silver,1,3,0.5
Kimberly Glass,United States,2008,Volleyball,Silver,1,3,0.5
Tayyiba Haneef-park,United States,2008,Volleyball,Silver,1,3,1
Jennifer (-tamas),United States,2008,Volleyball,Silver,1,3,0.5
Ogonna Nnamani,United States,2008,Volleyball,Silver,1,3,1
Danielle Scott-arruda,United States,2008,Volleyball,Silver,1,3,2
Stacy Sykora,United States,2008,Volleyball,Silver,1,3,1.5
Logan Tom,United States,2008,Volleyball,Silver,1,3,1.5
Kim Willoughby,United States,2008,Volleyball,Silver,1,3,0.5
Foluke Akinradewo,United States,2012,Volleyball,Silver,0,3,0.5
Lindsey Berg,United States,2012,Volleyball,Silver,0,6,1.5
Nicole Davis,United States,2012,Volleyball,Silver,0,6,1
Tayyiba Haneef-park,United States,2012,Volleyball,Silver,0,6,1.5
Christa Harmotto-dietzen,United States,2012,Volleyball,Silver,0,3,0.5
Megan Hodge,United States,2012,Volleyball,Silver,0,3,0.5
Destinee Hooker,United States,2012,Volleyball,Silver,0,3,0.5
Jordan Larson-burbach,United States,2012,Volleyball,Silver,0,3,0.5
Tamari Miyashiro,United States,2012,Volleyball,Silver,0,3,0.5
Danielle Scott-arruda,United States,2012,Volleyball,Silver,0,6,2.5
Courtney Thompson,United States,2012,Volleyball,Silver,0,3,0.5
Logan Tom,United States,2012,Volleyball,Silver,0,6,2
Rachael Adams,United States,2016,Volleyball,Bronze,0,1,0.5
Foluke Akinradewo,United States,2016,Volleyball,Bronze,0,4,1
Kayla Banwarth,United States,2016,Volleyball,Bronze,0,1,0.5
Alisha Glass,United States,2016,Volleyball,Bronze,0,1,0.5
Christa Harmotto-dietzen,United States,2016,Volleyball,Bronze,0,4,1
Kimberly Hill,United States,2016,Volleyball,Bronze,0,1,0.5
Jordan Larson-burbach,United States,2016,Volleyball,Bronze,0,4,1
Carli Lloyd,United States,2016,Volleyball,Bronze,0,1,0.5
Karsta Lowe,United States,2016,Volleyball,Bronze,0,1,0.5
Kelly Murphy,United States,2016,Volleyball,Bronze,0,1,0.5
Kelsey Robinson,United States,2016,Volleyball,Bronze,0,1,0.5
Courtney Thompson,United States,2016,Volleyball,Bronze,0,4,1
Foluke Akinradewo,United States,2020,Volleyball,Gold,0,9,1.5
Michelle Bartsch-hackley,United States,2020,Volleyball,Gold,0,5,0.5
Andrea Drews,United States,2020,Volleyball,Gold,0,5,0.5
Micha Hancock,United States,2020,Volleyball,Gold,0,5,0.5
Kimberly Hill,United States,2020,Volleyball,Gold,0,6,1
Jordan Larson,United States,2020,Volleyball,Gold,0,5,0.5
Chiaka Ogbogu,United States,2020,Volleyball,Gold,0,5,0.5
Jordyn Poulter,United States,2020,Volleyball,Gold,0,5,0.5
Kelsey Robinson,United States,2020,Volleyball,Gold,0,6,1
Jordan Thompson,United States,2020,Volleyball,Gold,0,5,0.5
Haleigh Washington,United States,2020,Volleyball,Gold,0,5,0.5
Justine Wong-orantes,United States,2020,Volleyball,Gold,0,5,0.5
Lauren Carlini,United States,2024,Volleyball,Silver,0,3,0.5
Andrea Drews,United States,2024,Volleyball,Silver,0,8,1
Micha Hancock,United States,2024,Volleyball,Silver,0,8,1
Jordan Larson,United States,2024,Volleyball,Silver,0,8,1
Chiaka Ogbogu,United States,2024,Volleyball,Silver,0,8,1
Kathryn Plummer,United States,2024,Volleyball,Silver,0,3,0.5
Jordyn Poulter,United States,2024,Volleyball,Silver,0,8,1
Dana Rettke,United States,2024,Volleyball,Silver,0,3,0.5
Kelsey Robinson,United States,2024,Volleyball,Silver,0,9,1.5
Avery Skinner,United States,2024,Volleyball,Silver,0,3,0.5
Jordan Thompson,United States,2024,Volleyball,Silver,0,8,1
Haleigh Washington,United States,2024,Volleyball,Silver,0,8,1
Justine Wong-orantes,United States,2024,Volleyball,Silver,0,8,1
