Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScore
Hou Yuzhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Jiang Ying,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Lang Ping,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Li Yanjun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Liang Yan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Yang Xiaojun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Yang Xilan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zhang Rongfang,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zheng Meizhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zhu Ling,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Cui Yongmei,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Hou Yuzhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Jiang Ying,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Li Guojun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Li Yueming,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Su Huijuan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Wang Yajun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Wu Dan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Yang Xiaojun,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Yang Xilan,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Zheng Meizhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Chen Fengqin,CHN,1992,Volleyball,0,0,0,0,0
Gao Lin,CHN,1992,Volleyball,0,0,0,0,0
Lai Yawen,CHN,1992,Volleyball,0,0,0,0,0
Li Guojun,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Li Yueming,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Ma Fang,CHN,1992,Volleyball,0,0,0,0,0
Su Huijuan,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Su Liqun,CHN,1992,Volleyball,0,0,0,0,0
Sun Yue,CHN,1992,Volleyball,0,0,0,0,0
Wang Yi,CHN,1992,Volleyball,0,0,0,0,0
Wu Dan,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Zhou Hong,CHN,1992,Volleyball,0,0,0,0,0
Cui Yongmei,CHN,1996,Volleyball,3,1,0.353553391,0.353553391,0.353553391
He Qi,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497
Lai Yawen,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379
Li Yan,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497
Sun Yue,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379
Wang Lina,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497
Wang Yi,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379
Wang Ziling,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497
Wu Yongmei,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497
Chen Jing,CHN,2000,Volleyball,0,0,0,0,0
Gui Chaoran,CHN,2000,Volleyball,0,0,0,0,0
He Qi,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379
Li Shan,CHN,2000,Volleyball,0,0,0,0,0
Li Yan,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379
Qiu Aihua,CHN,2000,Volleyball,0,0,0,0,0
Sun Yue,CHN,2000,Volleyball,0,0,0.259593009,1,0.518809497
Wang Lina,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379
Wu Dan,CHN,2000,Volleyball,0,0,0,1,0.3501
Wu Yongmei,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379
Yin Yin,CHN,2000,Volleyball,0,0,0,0,0
Zhu Yunying,CHN,2000,Volleyball,0,0,0,0,0
Chen Jing,CHN,2004,Volleyball,5,0,0.465913214,0.385552706,0.437779
Feng Kun,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Li Shan,CHN,2004,Volleyball,5,0,0.465913214,0.385552706,0.437779
Liu Yanan,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Song Nina,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Wang Lina,CHN,2004,Volleyball,5,0,1,1,1
Yang Hao,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Zhang Na,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Zhang Ping,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Zhang Yuehong,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Zhao Ruirui,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Zhou Suhong,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998
Feng Kun,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Li Juan,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Liu Yanan,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Ma Yunwen,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Wang Yimei,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Wei Qiuyue,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Xu Yunli,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Xue Ming,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676
Yang Hao,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Zhang Na,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Zhao Ruirui,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Zhou Suhong,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Chu Jinling,CHN,2012,Volleyball,0,0,0,0,0
Hui Ruoqi,CHN,2012,Volleyball,0,0,0,0,0
Ma Yunwen,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Mi Yang,CHN,2012,Volleyball,0,0,0,0,0
Shan Danna,CHN,2012,Volleyball,0,0,0,0,0
Wang Yimei,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Wei Qiuyue,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Xu Yunli,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Yang Junjing,CHN,2012,Volleyball,0,0,0,0,0
Zeng Chunlei,CHN,2012,Volleyball,0,0,0,0,0
Zhang Lei,CHN,2012,Volleyball,0,0,0,0,0
Zhang Xian,CHN,2012,Volleyball,0,0,0,0,0
Ding Xia,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Gong Xiangyu,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Hui Ruoqi,CHN,2016,Volleyball,5,1,0.465913214,0.385552706,0.437779
Lin Li,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Liu Xiaotong,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Wei Qiuyue,CHN,2016,Volleyball,5,1,0.604445587,1,0.742929187
Xu Yunli,CHN,2016,Volleyball,5,1,0.604445587,1,0.742929187
Yan Ni,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Yang Fangxu,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Yuan Xinyue,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Zhang Changning,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Zhu Ting,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998
Xia Ding,CHN,2020,Volleyball,0,1,0,0,0
Xiangyu Gong,CHN,2020,Volleyball,0,1,0,0,0
Yingying Li,CHN,2020,Volleyball,0,1,0,0,0
Xiaotong Liu,CHN,2020,Volleyball,0,1,0,0,0
Yanhan Liu,CHN,2020,Volleyball,0,1,0,0,0
Mengjie Wang,CHN,2020,Volleyball,0,1,0,0,0
Yuanyuan Wang,CHN,2020,Volleyball,0,1,0,0,0
Ni Yan,CHN,2020,Volleyball,0,1,0,0,0
Di Yao,CHN,2020,Volleyball,0,1,0,0,0
Xinyue Yuan,CHN,2020,Volleyball,0,1,0,0,0
Changning Zhang,CHN,2020,Volleyball,0,1,0,0,0
Ting Zhu,CHN,2020,Volleyball,0,1,0,0,0
Linyu Diao,CHN,2024,Volleyball,0,0,0,0,0
Xia Ding,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Yi Gao,CHN,2024,Volleyball,0,0,0,0,0
Xiangyu Gong,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Yingying Li,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Mengjie Wang,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Mengjie Wu,CHN,2024,Volleyball,0,0,0,0,0
Xinyue Yuan,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Changning Zhang,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Yushan Zhuang,CHN,2024,Volleyball,0,0,0,0,0
Yuanyuan Wang,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Yixin Zheng,CHN,2024,Volleyball,0,0,0,0,0
Ting Zhu,CHN,2024,Volleyball,0,0,0,0.25,0.087525
Jeanne (-reeves),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Carolyn Becker,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Linda Chisholm,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Rita (-buck),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Laura (-corbelli),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Deborah (-vargas),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Flora Hyman,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Rose (-powell),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Kimberly Ruddins,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Julie (-melli),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Paula (-hanold),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Susan Woodstra,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249
Deitre (-parker),United States,1988,Volleyball,0,0,0,0,0
Caren Kemner,United States,1988,Volleyball,0,0,0,0,0
Laurel Kessel,United States,1988,Volleyball,0,0,0,0,0
Elizabeth Masakayan,United States,1988,Volleyball,0,0,0,0,0
Jayne (gibson-),United States,1988,Volleyball,0,0,0,0,0
Melissa (-kleespies),United States,1988,Volleyball,0,0,0,0,0
Kimberley Oden,United States,1988,Volleyball,0,0,0,0,0
Prikeba Phipps,United States,1988,Volleyball,0,0,0,0,0
Angela Rock,United States,1988,Volleyball,0,0,0,0,0
Kimberly Ruddins,United States,1988,Volleyball,0,0,0.231120425,0.099212566,0.181417543
Liane Sato,United States,1988,Volleyball,0,0,0,0,0
Tammy Webb-liley,United States,1988,Volleyball,0,0,0,0,0
Janet (-mulholland),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Tara Cross-battle,United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Lori (-vandersnick),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Caren Kemner,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544
Ruth (-kenan),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Elaina Oden,United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Kimberley Oden,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544
Tonya (-slacanin),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Liane Sato,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544
Tammy Webb-liley,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544
Paula (-hanold),United States,1992,Volleyball,1,0,0.309950198,0.115734339,0.236769662
Yoko -hiroshi),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785
Tara Cross-battle,United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544
Lori (-vandersnick),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544
Caren Kemner,United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412
Kristin Klein,United States,1996,Volleyball,0,0,0,0,0
Beverly Oden,United States,1996,Volleyball,0,0,0,0,0
Elaina Oden,United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544
Tonya (-slacanin),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544
Danielle Scott-arruda,United States,1996,Volleyball,0,0,0,0,0
Tammy Webb-liley,United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412
Paula (-hanold),United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412
Elaine Youngs,United States,1996,Volleyball,0,0,0,0,0
Yoko -hiroshi),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544
Robyn Mow-santos,United States,2000,Volleyball,0,0,0,0,0
Heather Bown,United States,2000,Volleyball,0,0,0,0,0
Tara Cross-battle,United States,2000,Volleyball,0,0,0.087042337,0.270014935,0.155986412
Mickisha Hurley,United States,2000,Volleyball,0,0,0,0,0
Sarah Noriega,United States,2000,Volleyball,0,0,0,0,0
Demetria Sance,United States,2000,Volleyball,0,0,0,0,0
Danielle Scott-arruda,United States,2000,Volleyball,0,0,0,0.0625,0.02355
Stacy Sykora,United States,2000,Volleyball,0,0,0,0,0
Charlene Tagaloa,United States,2000,Volleyball,0,0,0,0,0
Logan Tom,United States,2000,Volleyball,0,0,0,0,0
Kerri Jennings,United States,2000,Volleyball,0,0,0,0,0
Allison Weston,United States,2000,Volleyball,0,0,0,0,0
Robyn Mow-santos,United States,2004,Volleyball,0,0,0,0.0625,0.02355
Elisabeth (-mccutcheon),United States,2004,Volleyball,0,0,0,0,0
Lindsey Berg,United States,2004,Volleyball,0,0,0,0,0
Heather Bown,United States,2004,Volleyball,0,0,0,0.0625,0.02355
Tara Cross-battle,United States,2004,Volleyball,0,0,0,0.5625,0.21195
Tayyiba Haneef-park,United States,2004,Volleyball,0,0,0,0,0
Nancy (meendering-),United States,2004,Volleyball,0,0,0,0,0
Ogonna Nnamani,United States,2004,Volleyball,0,0,0,0,0
Prikeba Phipps,United States,2004,Volleyball,0,0,0,0.0625,0.02355
Danielle Scott-arruda,United States,2004,Volleyball,0,0,0,0.25,0.0942
Stacy Sykora,United States,2004,Volleyball,0,0,0,0.0625,0.02355
Logan Tom,United States,2004,Volleyball,0,0,0,0.0625,0.02355
Robyn Mow-santos,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812
Lindsey Berg,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543
Heather Bown,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812
Nicole Davis,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249
Kimberly Glass,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249
Tayyiba Haneef-park,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543
Jennifer (-tamas),United States,2008,Volleyball,3,1,0.231120425,0,0.144034249
Ogonna Nnamani,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543
Danielle Scott-arruda,United States,2008,Volleyball,3,1,0.231120425,0.619111359,0.377315409
Stacy Sykora,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812
Logan Tom,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812
Kim Willoughby,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249
Foluke Akinradewo,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Lindsey Berg,United States,2012,Volleyball,3,0,0.508761886,0.396850263,0.466593586
Nicole Davis,United States,2012,Volleyball,3,0,0.508761886,0.157490131,0.376402689
Tayyiba Haneef-park,United States,2012,Volleyball,3,0,0.508761886,0.396850263,0.466593586
Christa Harmotto-dietzen,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Megan Hodge,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Destinee Hooker,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Jordan Larson-burbach,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Tamari Miyashiro,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Danielle Scott-arruda,United States,2012,Volleyball,3,0,0.508761886,1,0.693860407
Courtney Thompson,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249
Logan Tom,United States,2012,Volleyball,3,0,0.508761886,0.681420222,0.573819547
Rachael Adams,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Foluke Akinradewo,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662
Kayla Banwarth,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Alisha Glass,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Christa Harmotto-dietzen,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662
Kimberly Hill,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Jordan Larson-burbach,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662
Carli Lloyd,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Karsta Lowe,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Kelly Murphy,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Kelsey Robinson,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785
Courtney Thompson,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662
Foluke Akinradewo,United States,2020,Volleyball,5,0,1,0.5,0.8116
Michelle Bartsch-hackley,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Andrea Drews,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Micha Hancock,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Kimberly Hill,United States,2020,Volleyball,5,0,0.508761886,0.157490131,0.376402689
Jordan Larson,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Chiaka Ogbogu,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Jordyn Poulter,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049
Kelsey Robinson,United States,2020,Volleyball,5,0,0.508761886,0.157490131,0.376402689
