Name,Country,Year,Sport,isCoached,Scoring_Current,ExperienceScoring,Medal
Atanasia (-albu),Romania,1960,Gymnastics,0,1,0,Bronze
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,1,0,Bronze
Elena (-teodorescu),Romania,1960,Gymnastics,0,1,0,Bronze
Elena -fodor),Romania,1960,Gymnastics,0,1,0,Bronze
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,1,0,Bronze
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,1,0,Bronze
Nadia (-conner),Romania,1976,Gymnastics,0,1,0,Bronze
Dnut Grecu,Romania,1976,Gymnastics,0,1,1,Bronze
Teodora (-cepoi),Romania,1976,Gymnastics,0,1,0,Bronze
Melita (-fleischer),Romania,1980,Gymnastics,0,1,0,Bronze
Melita (-fleischer),Romania,1980,Gymnastics,0,1,0,Bronze
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1980,Gymnastics,0,5,1,Gold
Nadia (-conner),Romania,1980,Gymnastics,0,5,1,Gold
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Mircea Gheorghiu,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Alina Goreac,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Paula Ioan,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Petre Mihiuc,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Nicolae Oprescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Gheorghe Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Constantin Petrescu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Dnut Grecu,Romania,1976,Gymnastics,1,0,1,No medal
Anca (-mihilescu),Romania,1976,Gymnastics,1,0,1,No medal
Anca (-mihilescu),Romania,1976,Gymnastics,1,0,1,No medal
Anca (-mihilescu),Romania,1976,Gymnastics,1,0,1,No medal
Anca (-mihilescu),Romania,1976,Gymnastics,1,0,1,No medal
Anca (-mihilescu),Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Nicolae Oprescu,Romania,1976,Gymnastics,1,0,1,No medal
Gabriela Truc,Romania,1976,Gymnastics,1,0,0,No medal
Gabriela Truc,Romania,1976,Gymnastics,1,0,0,No medal
Gabriela Truc,Romania,1976,Gymnastics,1,0,0,No medal
Gabriela Truc,Romania,1976,Gymnastics,1,0,0,No medal
Gabriela Truc,Romania,1976,Gymnastics,1,0,0,No medal
Teodora (-cepoi),Romania,1976,Gymnastics,1,0,0,No medal
Teodora (-cepoi),Romania,1976,Gymnastics,1,0,0,No medal
Teodora (-cepoi),Romania,1976,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Romulus Bucuroiu,Romania,1980,Gymnastics,1,0,0,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Sorin Cepoi,Romania,1980,Gymnastics,1,0,1,No medal
Nadia (-conner),Romania,1980,Gymnastics,1,0,1,No medal
Nadia (-conner),Romania,1980,Gymnastics,1,0,1,No medal
Rodica (-kszegi),Romania,1980,Gymnastics,1,0,0,No medal
Rodica (-kszegi),Romania,1980,Gymnastics,1,0,0,No medal
Rodica (-kszegi),Romania,1980,Gymnastics,1,0,0,No medal
Rodica (-kszegi),Romania,1980,Gymnastics,1,0,0,No medal
Rodica (-kszegi),Romania,1980,Gymnastics,1,0,0,No medal
Gertrd (-kollar),Romania,1980,Gymnastics,1,0,0,No medal
Gertrd (-kollar),Romania,1980,Gymnastics,1,0,0,No medal
Gertrd (-kollar),Romania,1980,Gymnastics,1,0,0,No medal
Gertrd (-kollar),Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Aurelian Georgescu,Romania,1980,Gymnastics,1,0,0,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Dnut Grecu,Romania,1980,Gymnastics,1,0,2,No medal
Cristina Grigora,Romania,1980,Gymnastics,1,0,0,No medal
Cristina Grigora,Romania,1980,Gymnastics,1,0,0,No medal
Cristina Grigora,Romania,1980,Gymnastics,1,0,0,No medal
Cristina Grigora,Romania,1980,Gymnastics,1,0,0,No medal
Cristina Grigora,Romania,1980,Gymnastics,1,0,0,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Nicolae Oprescu,Romania,1980,Gymnastics,1,0,2,No medal
Melita (-fleischer),Romania,1980,Gymnastics,1,0,0,No medal
Melita (-fleischer),Romania,1980,Gymnastics,1,0,0,No medal
Melita (-fleischer),Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Kurt Szilier,Romania,1980,Gymnastics,1,0,0,No medal
Dumitria Turner,Romania,1980,Gymnastics,1,0,0,No medal
Dumitria Turner,Romania,1980,Gymnastics,1,0,0,No medal
Dumitria Turner,Romania,1980,Gymnastics,1,0,0,No medal
Dumitria Turner,Romania,1980,Gymnastics,1,0,0,No medal
Dumitria Turner,Romania,1980,Gymnastics,1,0,0,No medal
Nadia (-conner),Romania,1976,Gymnastics,1,3,0,Silver
Mariana Constantin,Romania,1976,Gymnastics,1,3,0,Silver
Georgeta Gabor,Romania,1976,Gymnastics,1,3,0,Silver
Anca (-mihilescu),Romania,1976,Gymnastics,1,3,1,Silver
Gabriela Truc,Romania,1976,Gymnastics,1,3,0,Silver
Teodora (-cepoi),Romania,1976,Gymnastics,1,3,0,Silver
Teodora (-cepoi),Romania,1976,Gymnastics,1,3,0,Silver
Nadia (-conner),Romania,1980,Gymnastics,1,3,1,Silver
Nadia (-conner),Romania,1980,Gymnastics,1,3,1,Silver
Rodica (-kszegi),Romania,1980,Gymnastics,1,3,0,Silver
Gertrd (-kollar),Romania,1980,Gymnastics,1,3,0,Silver
Gertrd (-kollar),Romania,1980,Gymnastics,1,3,0,Silver
Cristina Grigora,Romania,1980,Gymnastics,1,3,0,Silver
Melita (-fleischer),Romania,1980,Gymnastics,1,3,0,Silver
Dumitria Turner,Romania,1980,Gymnastics,1,3,0,Silver
